Format;MediaType;DownloadUrl;AccessUrl;Language
csv;csv;https://datasets.cbs.nl/csv/CBS/nl/85163NED;https://dataportal.cbs.nl/detail/CBS/85163NED;nl
odata;odata;https://datasets.cbs.nl/odata/v1/CBS/85163NED;https://dataportal.cbs.nl/detail/CBS/85163NED;nl
