Id;Index;Title;Description;ParentId;DimensionId
GM0785;103;Goirle;;WBGM;WijkenEnBuurten
GM1942;104;Gooise Meren;;WBGM;WijkenEnBuurten
GM0512;105;Gorinchem;;WBGM;WijkenEnBuurten
GM0513;106;Gouda;;WBGM;WijkenEnBuurten
GM0786;107;Grave;;WBGM;WijkenEnBuurten
GM0518;108;'s-Gravenhage;;WBGM;WijkenEnBuurten
GM0014;109;Groningen;;WBGM;WijkenEnBuurten
GM1729;110;Gulpen-Wittem;;WBGM;WijkenEnBuurten
GM0158;111;Haaksbergen;;WBGM;WijkenEnBuurten
GM0392;112;Haarlem;;WBGM;WijkenEnBuurten
GM0394;113;Haarlemmermeer;;WBGM;WijkenEnBuurten
GM1655;114;Halderberge;;WBGM;WijkenEnBuurten
GM0160;115;Hardenberg;;WBGM;WijkenEnBuurten
GM0243;116;Harderwijk;;WBGM;WijkenEnBuurten
GM0523;117;Hardinxveld-Giessendam;;WBGM;WijkenEnBuurten
GM0072;118;Harlingen;;WBGM;WijkenEnBuurten
GM0244;119;Hattem;;WBGM;WijkenEnBuurten
GM0396;120;Heemskerk;;WBGM;WijkenEnBuurten
GM0397;121;Heemstede;;WBGM;WijkenEnBuurten
GM0246;122;Heerde;;WBGM;WijkenEnBuurten
GM0074;123;Heerenveen;;WBGM;WijkenEnBuurten
GM0398;124;Heerhugowaard;;WBGM;WijkenEnBuurten
GM0917;125;Heerlen;;WBGM;WijkenEnBuurten
GM1658;126;Heeze-Leende;;WBGM;WijkenEnBuurten
GM0399;127;Heiloo;;WBGM;WijkenEnBuurten
GM0400;128;Den Helder;;WBGM;WijkenEnBuurten
GM0163;129;Hellendoorn;;WBGM;WijkenEnBuurten
GM0530;130;Hellevoetsluis;;WBGM;WijkenEnBuurten
GM0794;131;Helmond;;WBGM;WijkenEnBuurten
GM0531;132;Hendrik-Ido-Ambacht;;WBGM;WijkenEnBuurten
GM0164;133;Hengelo;;WBGM;WijkenEnBuurten
GM0796;134;'s-Hertogenbosch;;WBGM;WijkenEnBuurten
GM0252;135;Heumen;;WBGM;WijkenEnBuurten
GM0797;136;Heusden;;WBGM;WijkenEnBuurten
GM0534;137;Hillegom;;WBGM;WijkenEnBuurten
GM0798;138;Hilvarenbeek;;WBGM;WijkenEnBuurten
GM0402;139;Hilversum;;WBGM;WijkenEnBuurten
GM1963;140;Hoeksche Waard;;WBGM;WijkenEnBuurten
GM1735;141;Hof van Twente;;WBGM;WijkenEnBuurten
GM1966;142;Het Hogeland;;WBGM;WijkenEnBuurten
GM1911;143;Hollands Kroon;;WBGM;WijkenEnBuurten
GM0118;144;Hoogeveen;;WBGM;WijkenEnBuurten
GM0405;145;Hoorn;;WBGM;WijkenEnBuurten
GM1507;146;Horst aan de Maas;;WBGM;WijkenEnBuurten
GM0321;147;Houten;;WBGM;WijkenEnBuurten
GM0406;148;Huizen;;WBGM;WijkenEnBuurten
GM0677;149;Hulst;;WBGM;WijkenEnBuurten
GM0353;150;IJsselstein;;WBGM;WijkenEnBuurten
GM1884;151;Kaag en Braassem;;WBGM;WijkenEnBuurten
GM0166;152;Kampen;;WBGM;WijkenEnBuurten
GM0678;153;Kapelle;;WBGM;WijkenEnBuurten
GM0537;154;Katwijk;;WBGM;WijkenEnBuurten
GM0928;155;Kerkrade;;WBGM;WijkenEnBuurten
GM1598;156;Koggenland;;WBGM;WijkenEnBuurten
GM0542;157;Krimpen aan den IJssel;;WBGM;WijkenEnBuurten
GM1931;158;Krimpenerwaard;;WBGM;WijkenEnBuurten
GM1659;159;Laarbeek;;WBGM;WijkenEnBuurten
GM1685;160;Landerd;;WBGM;WijkenEnBuurten
GM0882;161;Landgraaf;;WBGM;WijkenEnBuurten
GM0415;162;Landsmeer;;WBGM;WijkenEnBuurten
GM0416;163;Langedijk;;WBGM;WijkenEnBuurten
GM1621;164;Lansingerland;;WBGM;WijkenEnBuurten
GM0417;165;Laren;;WBGM;WijkenEnBuurten
GM0080;166;Leeuwarden;;WBGM;WijkenEnBuurten
GM0546;167;Leiden;;WBGM;WijkenEnBuurten
GM0547;168;Leiderdorp;;WBGM;WijkenEnBuurten
GM1916;169;Leidschendam-Voorburg;;WBGM;WijkenEnBuurten
GM0995;170;Lelystad;;WBGM;WijkenEnBuurten
GM1640;171;Leudal;;WBGM;WijkenEnBuurten
GM0327;172;Leusden;;WBGM;WijkenEnBuurten
GM1705;173;Lingewaard;;WBGM;WijkenEnBuurten
GM0553;174;Lisse;;WBGM;WijkenEnBuurten
GM0262;175;Lochem;;WBGM;WijkenEnBuurten
GM0809;176;Loon op Zand;;WBGM;WijkenEnBuurten
GM0331;177;Lopik;;WBGM;WijkenEnBuurten
GM0168;178;Losser;;WBGM;WijkenEnBuurten
GM0263;179;Maasdriel;;WBGM;WijkenEnBuurten
GM1641;180;Maasgouw;;WBGM;WijkenEnBuurten
GM0556;181;Maassluis;;WBGM;WijkenEnBuurten
GM0935;182;Maastricht;;WBGM;WijkenEnBuurten
GM0420;183;Medemblik;;WBGM;WijkenEnBuurten
GM0938;184;Meerssen;;WBGM;WijkenEnBuurten
GM1948;185;Meierijstad;;WBGM;WijkenEnBuurten
GM0119;186;Meppel;;WBGM;WijkenEnBuurten
GM0687;187;Middelburg;;WBGM;WijkenEnBuurten
GM1842;188;Midden-Delfland;;WBGM;WijkenEnBuurten
GM1731;189;Midden-Drenthe;;WBGM;WijkenEnBuurten
GM1952;190;Midden-Groningen;;WBGM;WijkenEnBuurten
GM0815;191;Mill en Sint Hubert;;WBGM;WijkenEnBuurten
GM1709;192;Moerdijk;;WBGM;WijkenEnBuurten
GM1978;193;Molenlanden;;WBGM;WijkenEnBuurten
GM1955;194;Montferland;;WBGM;WijkenEnBuurten
GM0335;195;Montfoort;;WBGM;WijkenEnBuurten
GM0944;196;Mook en Middelaar;;WBGM;WijkenEnBuurten
GM1740;197;Neder-Betuwe;;WBGM;WijkenEnBuurten
GM0946;198;Nederweert;;WBGM;WijkenEnBuurten
GM0356;199;Nieuwegein;;WBGM;WijkenEnBuurten
GM0569;200;Nieuwkoop;;WBGM;WijkenEnBuurten
GM0267;201;Nijkerk;;WBGM;WijkenEnBuurten
GM0268;202;Nijmegen;;WBGM;WijkenEnBuurten
GM1930;203;Nissewaard;;WBGM;WijkenEnBuurten
