Identifier;Title;Description;MapYear;ReleasePolicy;Kind;ContainsGroups;ContainsCodes;CodesUrl;GroupsUrl
WijkenEnBuurten;Wijken en buurten;;2021;;GeoDetailDimension;True;True;WijkenEnBuurtenCodes.csv;WijkenEnBuurtenGroups.csv
Perioden;Perioden;;;False;TimeDimension;True;True;PeriodenCodes.csv;PeriodenGroups.csv
