index,Periode,SES-Score,Spreiding,Plaats,Buurt,Wijk,Gemeente,Region_Code,Region_Description,ID,RegioS,Perioden,GemiddeldeVerkoopprijs_1
1704,2016JJ00,"0,01","0,84",Alkmaar,,,Alkmaar,GM0361,Gemeente 'Alkmaar' (GM0361),862,GM0361,2016JJ00,214497.0
1706,2017JJ00,"0,002","0,848",Alkmaar,,,Alkmaar,GM0361,Gemeente 'Alkmaar' (GM0361),863,GM0361,2017JJ00,238071.0
1708,2018JJ00,"0,006","0,848",Alkmaar,,,Alkmaar,GM0361,Gemeente 'Alkmaar' (GM0361),864,GM0361,2018JJ00,262519.0
1710,2019JJ00,"0,015","0,844",Alkmaar,,,Alkmaar,GM0361,Gemeente 'Alkmaar' (GM0361),865,GM0361,2019JJ00,286883.0
2516,2014JJ00,"-0,159","0,902",Almelo,,,Almelo,GM0141,Gemeente 'Almelo' (GM0141),889,GM0141,2014JJ00,164312.0
2518,2015JJ00,"-0,167","0,909",Almelo,,,Almelo,GM0141,Gemeente 'Almelo' (GM0141),890,GM0141,2015JJ00,157127.0
2520,2016JJ00,"-0,178","0,923",Almelo,,,Almelo,GM0141,Gemeente 'Almelo' (GM0141),891,GM0141,2016JJ00,169101.0
2522,2017JJ00,"-0,188","0,929",Almelo,,,Almelo,GM0141,Gemeente 'Almelo' (GM0141),892,GM0141,2017JJ00,177040.0
2524,2018JJ00,"-0,188","0,93",Almelo,,,Almelo,GM0141,Gemeente 'Almelo' (GM0141),893,GM0141,2018JJ00,191387.0
2526,2019JJ00,"-0,192","0,931",Almelo,,,Almelo,GM0141,Gemeente 'Almelo' (GM0141),894,GM0141,2019JJ00,209973.0
3352,2014JJ00,"0,006","0,849",Almere,,,Almere,GM0034,Gemeente 'Almere' (GM0034),918,GM0034,2014JJ00,188513.0
3354,2015JJ00,"0,005","0,853",Almere,,,Almere,GM0034,Gemeente 'Almere' (GM0034),919,GM0034,2015JJ00,194953.0
3356,2016JJ00,"0,004","0,856",Almere,,,Almere,GM0034,Gemeente 'Almere' (GM0034),920,GM0034,2016JJ00,206317.0
3358,2017JJ00,"-0,003","0,86",Almere,,,Almere,GM0034,Gemeente 'Almere' (GM0034),921,GM0034,2017JJ00,240518.0
3360,2018JJ00,"0,01","0,852",Almere,,,Almere,GM0034,Gemeente 'Almere' (GM0034),922,GM0034,2018JJ00,272616.0
3362,2019JJ00,"0,02","0,842",Almere,,,Almere,GM0034,Gemeente 'Almere' (GM0034),923,GM0034,2019JJ00,294284.0
3958,2014JJ00,"0,15","0,72",Alphen aan den Rijn,,,Alphen aan den Rijn,GM0484,Gemeente 'Alphen aan den Rijn' (GM0484),947,GM0484,2014JJ00,224102.0
3960,2015JJ00,"0,142","0,73",Alphen aan den Rijn,,,Alphen aan den Rijn,GM0484,Gemeente 'Alphen aan den Rijn' (GM0484),948,GM0484,2015JJ00,210948.0
3962,2016JJ00,"0,136","0,738",Alphen aan den Rijn,,,Alphen aan den Rijn,GM0484,Gemeente 'Alphen aan den Rijn' (GM0484),949,GM0484,2016JJ00,223430.0
3964,2017JJ00,"0,124","0,75",Alphen aan den Rijn,,,Alphen aan den Rijn,GM0484,Gemeente 'Alphen aan den Rijn' (GM0484),950,GM0484,2017JJ00,246886.0
3966,2018JJ00,"0,125","0,752",Alphen aan den Rijn,,,Alphen aan den Rijn,GM0484,Gemeente 'Alphen aan den Rijn' (GM0484),951,GM0484,2018JJ00,269286.0
3968,2019JJ00,"0,131","0,745",Alphen aan den Rijn,,,Alphen aan den Rijn,GM0484,Gemeente 'Alphen aan den Rijn' (GM0484),952,GM0484,2019JJ00,286500.0
5086,2014JJ00,"0,267","0,613",Alphen-Chaam,,,Alphen-Chaam,GM1723,Gemeente 'Alphen-Chaam' (GM1723),1005,GM1723,2014JJ00,276898.0
